projid,projecttitle,projectrdc,projectpi,authors,outputtitle,outputbiblio,outputyear,doi,abstract,source_file,projectstatus,projectyearstarted,projectyearended,outputtype,outputstatus,outputvenue,outputmonth,outputvolume,outputnumber,outputpages
,"Assessing Statistical Disclosure Risk for Differentially Private,
  Hierarchical Count Data, with Application to the 2020 U.S. Decennial Census",Washington,Judith K Hellerstein,,"Assessing Statistical Disclosure Risk for Differentially Private,
  Hierarchical Count Data, with Application to the 2020 U.S. Decennial Census",,2005.0,https://doi.org/10.48550/arxiv.2204.04253,"We propose Bayesian methods to assess the statistical disclosure risk of data
released under zero-concentrated differential privacy, focusing on settings
with a strong hierarchical structure and categorical variables with many
levels. Risk assessment is performed by hypothesizing Bayesian intruders with
various amounts of prior information and examining the distance between their
posteriors and priors. We discuss applications of these risk assessment methods
to differentially private data releases from the 2020 decennial census and
perform simulation studies using public individual-level data from the 1940
decennial census. Among these studies, we examine how the data holder's choice
of privacy parameter affects the disclosure risk and quantify the increase in
risk when a hypothetical intruder incorporates substantial amounts of
hierarchical information.",group1.csv,Unknown,,,Unknown,Published,,,,,
,Register-based Census in Thailand: a Case Study in Chachoengsao Province,Washington,Thomas H Pollak,,Register-based Census in Thailand: a Case Study in Chachoengsao Province,,2002.0,https://doi.org/10.3233/sji-230045,"The use of registers has been increasingly popular in the field of population
census because of its advantages over the traditional census. While the
traditional census requires a large amount of fieldwork and data collection,
the registered-based census can rely on pre-existing administrative data. As a
result, the register-based census can save both time and budget. Thailand
explored a use of the register-based census in 2020. In this paper, the authors
layout the methodology in an aspect of data preparation and integration as well
as analyze data quality of the register-based census compared with the
traditional census in Chachoengsao province, Thailand. In addition, we compared
conceptual frameworks that are commonly used for a register-based census in
several countries and the number of databases (a recent single database VS
multiple databases) used to construct the register-based census. We found that
using a conceptual framework that counts the number of populations based on the
main census variables on a single recent database is better than using a
framework that counts population who appears on many registers in term of
overcoverage and data distribution regarding to sex. This provides the evidence
of using one recent and complete database is sufficient for conducting the
register-based census. The authors end up with recommendations for conducing
the register-based census.",group1.csv,Unknown,,,Unknown,Published,,,,,
,"A Bayesian hierarchical small-area population model accounting for data
  source specific methodologies from American Community Survey, Population
  Estimates Program, and Decennial Census data",Washington,Emily Parkany,,"A Bayesian hierarchical small-area population model accounting for data
  source specific methodologies from American Community Survey, Population
  Estimates Program, and Decennial Census data",,2003.0,https://doi.org/10.48550/arxiv.2112.09813,"Small area estimates of population are necessary for many epidemiological
studies, yet their quality and accuracy are often not assessed. In the United
States, small area estimates of population counts are published by the United
States Census Bureau (USCB) in the form of the Decennial census counts,
Intercensal population projections (PEP), and American Community Survey (ACS)
estimates. Although there are significant relationships between these data
sources, there are important contrasts in data collection and processing
methodologies, such that each set of estimates may be subject to different
sources and magnitudes of error. Additionally, these data sources do not report
identical small area population counts due to post-survey adjustments specific
to each data source. Resulting small area disease/mortality rates may differ
depending on which data source is used for population counts (denominator
data). To accurately capture annual small area population counts, and
associated uncertainties, we present a Bayesian population model (B-Pop), which
fuses information from all three USCB sources, accounting for data source
specific methodologies and associated errors. The main features of our
framework are: 1) a single model integrating multiple data sources, 2)
accounting for data source specific data generating mechanisms, and
specifically accounting for data source specific errors, and 3) prediction of
estimates for years without USCB reported data. We focus our study on the 159
counties of Georgia, and produce estimates for years 2005-2021.",group1.csv,Unknown,,,Unknown,Published,,,,,
,The Census-Stub Graph Invariant Descriptor,Washington,Rick Boden,,The Census-Stub Graph Invariant Descriptor,,2003.0,https://doi.org/10.1109/tvcg.2024.3513275,"An invariant descriptor captures meaningful structural features of networks,
useful where traditional visualizations, like node-link views, face challenges
like the hairball phenomenon (inscrutable overlap of points and lines).
Designing invariant descriptors involves balancing abstraction and information
retention, as richer data summaries demand more storage and computational
resources. Building on prior work, chiefly the BMatrix -- a matrix descriptor
visualized as the invariant network portrait heatmap -- we introduce
BFS-Census, a new algorithm computing our Census data structures: Census-Node,
Census-Edge, and Census-Stub. Our experiments show Census-Stub, which focuses
on stubs (half-edges), has orders of magnitude greater discerning power
(ability to tell non-isomorphic graphs apart) than any other descriptor in this
study, without a difficult trade-off: the substantial increase in resolution
does not come at a commensurate cost in storage space or computation power. We
also present new visualizations -- our Hop-Census polylines and Census-Census
trajectories -- and evaluate them using real-world graphs, including a
sensitivity analysis that shows graph topology change maps to visual Census
change.",group1.csv,Unknown,,,Unknown,Published,,,,,
,"The 2020 United States Decennial Census Is More Private Than You (Might)
  Think",Washington,Rick Boden,,"The 2020 United States Decennial Census Is More Private Than You (Might)
  Think",,2003.0,https://doi.org/10.48550/arxiv.2410.09296,"The U.S. Decennial Census serves as the foundation for many high-profile
policy decision-making processes, including federal funding allocation and
redistricting. In 2020, the Census Bureau adopted differential privacy to
protect the confidentiality of individual responses through a disclosure
avoidance system that injects noise into census data tabulations. The Bureau
subsequently posed an open question: Could stronger privacy guarantees be
obtained for the 2020 U.S. Census compared to their published guarantees, or
equivalently, had the privacy budgets been fully utilized?
  In this paper, we address this question affirmatively by demonstrating that
the 2020 U.S. Census provides significantly stronger privacy protections than
its nominal guarantees suggest at each of the eight geographical levels, from
the national level down to the block level. This finding is enabled by our
precise tracking of privacy losses using $f$-differential privacy, applied to
the composition of private queries across these geographical levels. Our
analysis reveals that the Census Bureau introduced unnecessarily high levels of
noise to meet the specified privacy guarantees for the 2020 Census.
Consequently, we show that noise variances could be reduced by $15.08\%$ to
$24.82\%$ while maintaining nearly the same level of privacy protection for
each geographical level, thereby improving the accuracy of privatized census
statistics. We empirically demonstrate that reducing noise injection into
census statistics mitigates distortion caused by privacy constraints in
downstream applications of private census data, illustrated through a study
examining the relationship between earnings and education.",group1.csv,Unknown,,,Unknown,Published,,,,,
,"Differential Privacy in the 2020 Decennial Census and the Implications
  for Available Data Products",Washington,Rick Boden,,"Differential Privacy in the 2020 Decennial Census and the Implications
  for Available Data Products",,2003.0,https://doi.org/10.2139/ssrn.3416572,"In early 2021, the US Census Bureau will begin releasing statistical tables
based on the decennial census conducted in 2020. Because of significant changes
in the data landscape, the Census Bureau is changing its approach to disclosure
avoidance. The confidentiality of individuals represented ""anonymously"" in
these statistical tables will be protected by a ""formal privacy"" technique that
allows the Bureau to mathematically assess the risk of revealing information
about individuals in the released statistical tables. The Bureau's approach is
an implementation of ""differential privacy,"" and it gives a rigorously
demonstrated guaranteed level of privacy protection that traditional methods of
disclosure avoidance do not. Given the importance of the Census Bureau's
statistical tables to democracy, resource allocation, justice, and research,
confusion about what differential privacy is and how it might alter or
eliminate data products has rippled through the community of its data users,
namely: demographers, statisticians, and census advocates.
  The purpose of this primer is to provide context to the Census Bureau's
decision to use a technique based on differential privacy and to help data
users and other census advocates who are struggling to understand what this
mathematical tool is, why it matters, and how it will affect the Bureau's data
products.",group1.csv,Unknown,,,Unknown,Published,,,,,
,"Addressing Census data problems in race imputation via fully Bayesian
  Improved Surname Geocoding and name supplements",CMU,Dennis Epple,,"Addressing Census data problems in race imputation via fully Bayesian
  Improved Surname Geocoding and name supplements",,2005.0,https://doi.org/10.1126/sciadv.adc9824,"Prediction of individual's race and ethnicity plays an important role in
social science and public health research. Examples include studies of racial
disparity in health and voting. Recently, Bayesian Improved Surname Geocoding
(BISG), which uses Bayes' rule to combine information from Census surname files
with the geocoding of an individual's residence, has emerged as a leading
methodology for this prediction task. Unfortunately, BISG suffers from two
Census data problems that contribute to unsatisfactory predictive performance
for minorities. First, the decennial Census often contains zero counts for
minority racial groups in the Census blocks where some members of those groups
reside. Second, because the Census surname files only include frequent names,
many surnames -- especially those of minorities -- are missing from the list.
To address the zero counts problem, we introduce a fully Bayesian Improved
Surname Geocoding (fBISG) methodology that accounts for potential measurement
error in Census counts by extending the naive Bayesian inference of the BISG
methodology to full posterior inference. To address the missing surname
problem, we supplement the Census surname data with additional data on last,
first, and middle names taken from the voter files of six Southern states where
self-reported race is available. Our empirical validation shows that the fBISG
methodology and name supplements significantly improve the accuracy of race
imputation across all racial groups, and especially for Asians. The proposed
methodology, together with additional name data, is available via the
open-source software WRU.",group1.csv,Unknown,,,Unknown,Published,,,,,
,"Comment: The Essential Role of Policy Evaluation for the 2020 Census
  Disclosure Avoidance System",Berkeley,Fernando V Ferreira,,"Comment: The Essential Role of Policy Evaluation for the 2020 Census
  Disclosure Avoidance System",,2006.0,https://doi.org/10.48550/arxiv.2210.08383,"In ""Differential Perspectives: Epistemic Disconnects Surrounding the US
Census Bureau's Use of Differential Privacy,"" boyd and Sarathy argue that
empirical evaluations of the Census Disclosure Avoidance System (DAS),
including our published analysis, failed to recognize how the benchmark data
against which the 2020 DAS was evaluated is never a ground truth of population
counts. In this commentary, we explain why policy evaluation, which was the
main goal of our analysis, is still meaningful without access to a perfect
ground truth. We also point out that our evaluation leveraged features specific
to the decennial Census and redistricting data, such as block-level population
invariance under swapping and voter file racial identification, better
approximating a comparison with the ground truth. Lastly, we show that accurate
statistical predictions of individual race based on the Bayesian Improved
Surname Geocoding, while not a violation of differential privacy, substantially
increases the disclosure risk of private information the Census Bureau sought
to protect. We conclude by arguing that policy makers must confront a key
trade-off between data utility and privacy protection, and an epistemic
disconnect alone is insufficient to explain disagreements between policy
choices.",group1.csv,Unknown,,,Unknown,Published,,,,,
,"The Impact of De-Identification on Single-Year-of-Age Counts in the U.S.
  Census",Berkeley,Fernando V Ferreira,,"The Impact of De-Identification on Single-Year-of-Age Counts in the U.S.
  Census",,2006.0,https://doi.org/10.48550/arxiv.2308.12876,"In 2020, the U.S. Census Bureau transitioned from data swapping to
differential privacy (DP) in its approach to de-identifying decennial census
data. This decision has faced considerable criticism from data users,
particularly due to concerns about the accuracy of DP. We compare the relative
impacts of swapping and DP on census data, focusing on the use case of school
planning, where single-year-of-age population counts (i.e., the number of
four-year-olds in the district) are used to estimate the number of incoming
students and make resulting decisions surrounding faculty, classrooms, and
funding requests. We examine these impacts for school districts of varying
population sizes and age distributions.
  Our findings support the use of DP over swapping for single-year-of-age
counts; in particular, concerning behaviors associated with DP (namely, poor
behavior for smaller districts) occur with swapping mechanisms as well. For the
school planning use cases we investigate, DP provides comparable, if not
improved, accuracy over swapping, while offering other benefits such as
improved transparency.",group1.csv,Unknown,,,Unknown,Published,,,,,
,A Moment of Perfect Clarity I: The Parallel Census Technique,Boston,Norman H Nie,,A Moment of Perfect Clarity I: The Parallel Census Technique,,2003.0,https://doi.org/10.48550/arxiv.cs/0007025,"We discuss the history and uses of the parallel census technique---an elegant
tool in the study of certain computational objects having polynomially bounded
census functions. A sequel will discuss advances (including Cai, Naik, and
Sivakumar [CNS95] and Glasser [Gla00]), some related to the parallel census
technique and some due to other approaches, in the complexity-class collapses
that follow if NP has sparse hard sets under reductions weaker than (full)
truth-table reductions.",group1.csv,Unknown,,,Unknown,Published,,,,,
